LG,TEAM,FName,LName,POS1,G, OPS , SLG , AVG , OBP ,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SB%, ERA ,GS,W,L,PCT,CG,SV, IP ,HA,RA,ER,BBA,SOA,GP,HRA,ShO, FPCT1 ,G1,GS1,TC1,INN1,PO1,A1,E1,DP1, POS2 , FPCT2 , G2 , GS2 , TC2 , INN2 , PO2 , A2 , E2 , DP2 ,Year,TEAM LG,ID,BATS,THROWS
A,TEX,Nick,Regilio,P ,,,,,,,,,,,,,,,,,, 6.13 ,4,0,4, -   ,0,0, 19.1 ,20,16,13,15,12,6,3,0, 1.000 ,6,4,6,19,2,4,0,1,,,,,,,,,,,2004,TEX A,RegilioNick,,
N,CIN,Brian,Reith,P ,20,,,,,0,0,0,0,0,0,0,0,0,0,0,, 7.27 ,0,2,2, 0.500 ,0,0, 26.0 ,30,21,21,19,24,22,5,0, 1.000 ,22,0,7,26,0,7,0,0,,,,,,,,,,,2004,CIN N,ReithBrian,,
N,ATL,Chris,Reitsma,P ,80,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.09 ,0,6,4, 0.600 ,0,2, 79.2 ,89,38,36,20,60,84,9,0, 1.000 ,84,0,10,79,3,7,0,1,,,,,,,,,,,2004,ATL N,ReitsmaChris,,
A,KC,Desi,Relaford,2B,114, 0.590 , 0.305 , 0.221 , 0.285 ,380,45,84,14,0,6,34,34,56,5,4,55.6%,,,,,  ,,,,,,,,,,,, 0.968 ,124,103,372,905,158,202,12,34,,,,,,,,,,,2004,KC A,RelafordDesi,,
N,CHI,Mike,Remlinger,P ,46, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 3.48 ,0,1,2, 0.333 ,0,2, 36.2 ,33,16,14,16,35,48,3,0, 1.000 ,48,0,10,36,3,7,0,1,,,,,,,,,,,2004,CHI N,RemlingerMike,,
N,STL,Édgar,Rentería,SS,149, 0.732 , 0.401 , 0.287 , 0.331 ,586,84,168,37,0,10,72,39,78,17,11,60.7%,,,,,  ,,,,,,,,,,,, 0.983 ,149,148,652,1307,222,419,11,92,,,,,,,,,,,2004,STL N,RenteríaÉdgar,,
A,MIN,Michael,Restovich,OF,29, 0.761 , 0.447 , 0.255 , 0.314 ,47,9,12,3,0,2,6,4,10,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,19,9,20,96,20,0,0,0,,,,,,,,,,,2004,MIN A,RestovichMichael,,
N,STL,Al,Reyes,P ,12, 2.000 , 1.000 , 1.000 , 1.000 ,1,0,1,0,0,0,0,0,0,0,0,, 0.75 ,2,0,0,,0,0, 12.0 ,3,1,1,2,11,12,0,0, 1.000 ,12,2,4,12,3,1,0,0,,,,,,,,,,,2004,STL N,ReyesAl,,
A,KC,Dennys,Reyes,P ,3, -   , -   , -   , -   ,6,0,0,0,0,0,0,0,3,0,0,, 4.75 ,12,4,8, 0.333 ,0,0, 108.0 ,114,64,57,50,91,40,12,0, 0.808 ,40,12,26,108,4,17,5,0,,,,,,,,,,,2004,KC A,ReyesDennys,,
N,NY,José,Reyes,2B,53, 0.644 , 0.373 , 0.255 , 0.271 ,220,33,56,16,2,2,14,5,31,19,2,90.5%,,,,,  ,,,,,,,,,,,, 0.975 ,53,48,242,424,93,143,6,31,,,,,,,,,,,2004,NY N,ReyesJosé,,
N,COL,René,Reyes,OF,28, 0.392 , 0.180 , 0.148 , 0.212 ,61,5,9,2,0,0,1,5,17,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,21,12,32,132,31,1,0,1,,,,,,,,,,,2004,COL N,ReyesRené,,
N,ARI,Shane,Reynolds,P ,1,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.50 ,1,0,1, -   ,0,0, 2.0 ,6,6,1,2,0,1,0,0,,1,1,0,2,0,0,0,0,,,,,,,,,,,2004,ARI N,ReynoldsShane,,
A,OAK,Arthur,Rhodes,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, 5.18 ,0,3,3, 0.500 ,0,9, 38.2 ,46,23,22,21,34,37,9,0, 1.000 ,37,0,8,38,0,8,0,0,,,,,,,,,,,2004,OAK A,RhodesArthur,,
N,CIN,John,Riedling,P ,67, -   , -   , -   , -   ,3,0,0,0,0,0,0,0,1,0,0,, 5.13 ,0,5,3, 0.625 ,0,0, 77.2 ,90,54,44,40,46,70,10,0, 1.000 ,70,0,21,77,4,17,0,1,,,,,,,,,,,2004,CIN N,RiedlingJohn,,
A,ANA,Adam,Riggs,1B,16, 0.494 , 0.278 , 0.194 , 0.216 ,36,2,7,3,0,0,3,1,10,1,0,100.0%,,,,,  ,,,,,,,,,,,, 1.000 ,10,5,15,38,12,3,0,0,,,,,,,,,,,2004,ANA A,RiggsAdam,,
A,BAL,Matt,Riley,P ,2, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,2,0,0,, 5.63 ,13,3,4, 0.429 ,0,0, 64.0 ,60,43,40,44,60,14,11,0, 0.545 ,14,13,11,64,1,5,5,1,,,,,,,,,,,2004,BAL A,RileyMatt,,
A,MIN,Juan,Rincón,P ,3, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 2.63 ,0,11,6, 0.647 ,0,2, 82.0 ,52,27,24,32,106,77,5,0, 0.750 ,77,0,12,82,3,6,3,0,,,,,,,,,,,2004,MIN A,RincónJuan,,
A,OAK,Ricardo,Rincón,P ,4,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.68 ,0,1,1, 0.500 ,0,0, 44.0 ,45,22,18,22,40,67,3,0, 1.000 ,67,0,3,44,1,2,0,0,,,,,,,,,,,2004,OAK A,RincónRicardo,,
A,TOR,Alexis,Ríos,OF,111, 0.717 , 0.383 , 0.286 , 0.335 ,426,55,122,24,7,1,28,31,84,15,3,83.3%,,,,,  ,,,,,,,,,,,, 0.991 ,111,109,231,964,218,11,2,4,,,,,,,,,,,2004,TOR A,RíosAlexis,,
A,CLE,David,Riske,P ,4,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.74 ,0,7,3, 0.700 ,0,5, 77.1 ,69,32,32,41,78,72,11,0, 1.000 ,72,0,11,77,7,4,0,1,,,,,,,,,,,2004,CLE A,RiskeDavid,,
A,TB,Todd,Ritchie,P ,,,,,,,,,,,,,,,,,, 9.00 ,2,0,2, -   ,0,0, 8.0 ,12,9,8,6,4,4,4,0, -   ,4,2,0,8,0,0,0,0,,,,,,,,,,,2004,TB A,RitchieTodd,,
A,MIN,Luis,Rivas,2B,109, 0.715 , 0.432 , 0.256 , 0.284 ,336,44,86,19,5,10,34,13,53,15,1,93.8%,,,,,  ,,,,,,,,,,,, 0.994 ,109,95,496,860,176,317,3,75,,,,,,,,,,,2004,MIN A,RivasLuis,,
N,PIT,Carlos,Rivera,1B,7, 0.450 , 0.200 , 0.200 , 0.250 ,15,1,3,0,0,0,1,1,3,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,7,4,37,39,35,2,0,6,,,,,,,,,,,2004,PIT N,RiveraCarlos,,
N,MON,Juan,Rivera,OF,134, 0.828 , 0.465 , 0.307 , 0.362 ,391,48,120,24,1,12,49,34,45,6,2,75.0%,,,,,  ,,,,,,,,,,,, 0.986 ,127,93,209,890,192,14,3,3,,,,,,,,,,,2004,MON N,RiveraJuan,,
A,NY,Mariano,Rivera,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, 1.96 ,0,4,2, 0.667 ,0,53, 78.2 ,65,17,17,20,66,74,3,0, 0.976 ,74,0,41,78,9,31,1,1,,,,,,,,,,,2004,NY A,RiveraMariano,,
A,SEA,Rene,Rivera,C ,2, -   , -   , -   , -   ,3,0,0,0,0,0,0,0,1,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,2,0,4,3,4,0,0,0,,,,,,,,,,,2004,SEA A,RiveraRene,,
A,MIN,Joe,Roa,P ,3,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.50 ,0,2,3, 0.400 ,0,0, 70.0 ,84,38,35,24,47,48,9,0, 0.933 ,48,0,15,70,5,9,1,1,,,,,,,,,,,2004,MIN A,RoaJoe,,
A,CLE,Jake,Robbins,P ,,,,,,,,,,,,,,,,,, 7.50 ,0,0,0,,0,0, 1.2 ,3,1,1,0,0,2,1,0, -   ,2,0,0,1,0,0,0,0,,,,,,,,,,,2004,CLE A,RobbinsJake,,
A,BAL,Brian,Roberts,2B,159, 0.721 , 0.376 , 0.273 , 0.346 ,641,107,175,50,2,4,53,71,95,29,12,70.7%,,,,,  ,,,,,,,,,,,, 0.988 ,150,148,669,1322,235,426,8,92,,,,,,,,,,,2004,BAL A,RobertsBrian,,
N,LA,Dave,Roberts,OF,113, 0.713 , 0.379 , 0.254 , 0.333 ,319,64,81,14,7,4,35,38,48,38,3,92.7%,,,,,  ,,,,,,,,,,,, 0.976 ,67,57,123,510,118,2,3,1,, 0.982 , 48.000 , 19.000 , 55.000 , 210.000 , 53.000 , 1.000 , 1.000 , 1.000 ,2004,LA N,RobertsDave,,
N,NY,Grant,Roberts,P ,4,,,,,0,0,0,0,0,0,0,0,0,0,0,, 19.29 ,0,0,0,,0,0, 4.2 ,9,9,9,6,1,4,2,0, 1.000 ,4,0,3,4,1,2,0,0,,,,,,,,,,,2004,NY N,RobertsGrant,,
A,CLE,Jeriome,Robertson,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, 12.21 ,0,1,1, 0.500 ,0,0, 14.0 ,22,22,19,9,6,8,5,0, 1.000 ,8,0,3,14,1,2,0,0,,,,,,,,,,,2004,CLE A,RobertsonJeriome,,
A,DET,Nate,Robertson,P ,1, -   , -   , -   , -   ,3,0,0,0,0,0,0,0,1,0,0,, 4.91 ,32,12,10, 0.545 ,1,1, 196.2 ,210,116,107,66,155,34,30,0, 0.853 ,34,32,34,196,4,25,5,5,,,,,,,,,,,2004,DET A,RobertsonNate,,
N,PIT,Willis,Roberts,P ,9, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 5.25 ,0,0,0,,0,0, 12.0 ,12,7,7,9,7,9,0,0, 1.000 ,9,0,4,12,1,3,0,1,,,,,,,,,,,2004,PIT N,RobertsWillis,,
N,SD,Kerry,Robinson,OF,80, 0.667 , 0.337 , 0.293 , 0.330 ,92,20,27,4,0,0,5,5,8,11,4,73.3%,,,,,  ,,,,,,,,,,,, 1.000 ,50,7,49,172,48,1,0,0,,,,,,,,,,,2004,SD N,RobinsonKerry,,
A,NY,Álex,Rodríguez,3B,155, 0.883 , 0.512 , 0.286 , 0.370 ,601,112,172,24,2,36,106,80,131,28,4,87.5%,,,,,  ,,,,,,,,,,,, 0.966 ,157,155,377,1366,101,263,13,26,,,,,,,,,,,2004,NY A,RodríguezÁlex,,
A,BAL,Eddy,Rodriguez,P ,3, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 4.80 ,0,1,0, 1.000 ,0,0, 43.1 ,36,23,23,30,37,29,5,0, 1.000 ,29,0,5,43,0,5,0,1,,,,,,,,,,,2004,BAL A,RodriguezEddy,,
N,SF,Félix,Rodríguez,P ,71, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 3.31 ,0,5,8, 0.385 ,0,1, 65.2 ,61,25,24,29,59,76,8,0, 0.889 ,76,0,9,65,1,7,1,1,,,,,,,,,,,2004,SF N,RodríguezFélix,,
A,ANA,Francisco,Rodríguez,P ,3,,,,,0,0,0,0,0,0,0,0,0,0,0,, 1.82 ,0,4,1, 0.800 ,0,12, 84.0 ,51,21,17,33,123,69,2,0, 1.000 ,69,0,14,84,5,9,0,0,,,,,,,,,,,2004,ANA A,RodríguezFrancisco,,
A,DET,Iván,Rodríguez,C ,135, 0.892 , 0.510 , 0.334 , 0.382 ,527,72,176,32,2,19,86,41,91,7,4,63.6%,,,,,  ,,,,,,,,,,,, 0.987 ,124,123,833,1051,770,52,11,6,,,,,,,,,,,2004,DET A,RodríguezIván,,
A,TEX,Ricardo,Rodríguez,P ,1, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,2,0,0,, 2.06 ,4,3,1, 0.750 ,1,0, 26.2 ,28,10,6,12,15,5,1,1, 1.000 ,5,4,6,26,3,3,0,0,,,,,,,,,,,2004,TEX A,RodríguezRicardo,,
A,TEX,Kenny,Rogers,P ,2, -   , -   , -   , -   ,5,1,0,0,0,0,0,0,3,0,0,, 4.77 ,35,18,9, 0.667 ,2,0, 211.2 ,248,117,112,66,126,35,24,1, 0.985 ,35,35,66,211,16,49,1,2,,,,,,,,,,,2004,TEX A,RogersKenny,,
N,STL,Scott,Rolen,3B,142, 0.998 , 0.598 , 0.314 , 0.400 ,500,109,157,32,4,34,124,72,92,4,3,57.1%,,,,,  ,,,,,,,,,,,, 0.977 ,141,139,428,1228,93,325,10,23,,,,,,,,,,,2004,STL N,RolenScott,,
N,PHI,Jimmy,Rollins,SS,154, 0.801 , 0.455 , 0.289 , 0.346 ,657,119,190,43,12,14,73,57,73,30,9,76.9%,,,,,  ,,,,,,,,,,,, 0.986 ,154,153,622,1376,214,399,9,88,,,,,,,,,,,2004,PHI N,RollinsJimmy,,
A,TB,Damian,Rolls,3B,53, 0.433 , 0.205 , 0.162 , 0.228 ,117,12,19,5,0,0,9,10,36,2,1,66.7%,,,,,  ,,,,,,,,,,,, 0.976 ,48,28,83,278,53,28,2,3,,,,,,,,,,,2004,TB A,RollsDamian,,
A,TB,Jason,Romano,OF,26, 0.430 , 0.235 , 0.147 , 0.194 ,34,3,5,0,0,1,4,2,12,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,11,4,10,45,9,1,0,0,, 0.800 , 2.000 , 2.000 , 5.000 , 15.000 , 3.000 , 1.000 , 1.000 , -   ,2004,TB A,RomanoJason,,
A,MIN,J.C.,Romero,P ,1,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.52 ,0,7,4, 0.636 ,0,1, 74.1 ,61,32,29,38,69,74,4,0, 1.000 ,74,0,15,74,7,8,0,2,,,,,,,,,,,2004,MIN A,RomeroJ.C.,,
A,OAK,Mike,Rose,C ,2, -   , -   , -   , -   ,2,1,0,0,0,0,0,0,2,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,2,0,1,3,1,0,0,0,,,,,,,,,,,2004,OAK A,RoseMike,,
N,LA,David,Ross,C ,70, 0.530 , 0.291 , 0.170 , 0.239 ,165,13,28,3,1,5,15,15,62,0,0,,,,,,  ,,,,,,,,,,,, 0.992 ,67,51,379,451,355,21,3,0,,,,,,,,,,,2004,LA N,RossDavid,,
A,CHI,Aaron,Rowand,OF,140, 0.894 , 0.544 , 0.310 , 0.350 ,487,94,151,38,2,24,69,30,91,17,5,77.3%,,,,,  ,,,,,,,,,,,, 0.975 ,138,122,322,1095,304,10,8,1,,,,,,,,,,,2004,CHI A,RowandAaron,,
N,SF,Kirk,Rueter,P ,32, 0.336 , 0.164 , 0.131 , 0.172 ,61,4,8,2,0,0,2,3,7,0,0,, 4.73 ,33,9,12, 0.429 ,0,0, 190.1 ,225,108,100,66,56,33,21,0, 0.986 ,33,33,70,190,18,51,1,6,,,,,,,,,,,2004,SF N,RueterKirk,,
N,CHI,Glendon,Rusch,P ,32, 0.487 , 0.333 , 0.154 , 0.154 ,39,3,6,1,0,2,3,0,11,0,0,, 3.48 ,16,6,2, 0.750 ,0,2, 129.2 ,127,54,50,33,90,32,10,0, 0.957 ,32,16,23,129,6,16,1,4,,,,,,,,,,,2004,CHI N,RuschGlendon,,
A,BAL,B.J.,Ryan,P ,5,,,,,0,0,0,0,0,0,0,0,0,0,0,, 2.28 ,0,4,6, 0.400 ,0,3, 87.0 ,64,24,22,35,122,76,4,0, 0.900 ,76,0,10,87,3,6,1,0,,,,,,,,,,,2004,BAL A,RyanB.J.,,
A,MIN,Michael,Ryan,OF,36, 0.576 , 0.296 , 0.239 , 0.280 ,71,9,17,2,1,0,7,4,16,1,1,50.0%,,,,,  ,,,,,,,,,,,, 0.947 ,15,7,19,81,18,0,1,0,,,,,,,,,,,2004,MIN A,RyanMichael,,
A,OAK,Kirk,Saarloos,P ,,,,,,,,,,,,,,,,,, 4.48 ,5,2,1, 0.667 ,0,0, 24.1 ,27,13,12,12,10,6,4,0, 1.000 ,6,5,11,24,2,9,0,1,,,,,,,,,,,2004,OAK A,SaarloosKirk,,
A,CLE,C.C.,Sabathia,P ,1, 0.500 , 0.250 , 0.250 , 0.250 ,4,0,1,0,0,0,0,0,2,0,0,, 4.12 ,30,11,10, 0.524 ,1,0, 188.0 ,176,90,86,72,139,30,20,1, 1.000 ,30,30,18,188,1,17,0,2,,,,,,,,,,,2004,CLE A,SabathiaC.C.,,
N,ARI,Donnie,Sadler,2B,18, 0.384 , 0.217 , 0.130 , 0.167 ,23,1,3,2,0,0,0,1,7,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,14,2,12,46,8,4,0,2,,,,,,,,,,,2004,ARI N,SadlerDonnie,,
N,MIL,Chris,Sáenz,P ,1, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,1,0,0,, -   ,1,1,0, 1.000 ,0,0, 6.0 ,2,0,0,3,7,1,0,0,,1,1,0,6,0,0,0,0,,,,,,,,,,,2004,MIL N,SáenzChris,,
N,LA,Olmedo,Sáenz,1B,77, 0.854 , 0.505 , 0.279 , 0.350 ,111,17,31,1,0,8,22,12,33,0,0,,,,,,  ,,,,,,,,,,,, 0.986 ,27,14,141,131,125,14,2,16,,,,,,,,,,,2004,LA N,SáenzOlmedo,,
A,ANA,Tim,Salmon,OF,60, 0.628 , 0.323 , 0.253 , 0.305 ,186,15,47,7,0,2,23,14,41,1,0,100.0%,,,,,  ,,,,,,,,,,,, 1.000 ,9,7,16,53,15,1,0,0,,,,,,,,,,,2004,ANA A,SalmonTim,,
A,DET,Álex,Sánchez,OF,79, 0.722 , 0.386 , 0.322 , 0.336 ,332,41,107,9,3,2,26,7,50,19,13,59.4%,,,,,  ,,,,,,,,,,,, 0.952 ,78,77,188,661,177,2,9,1,,,,,,,,,,,2004,DET A,SánchezÁlex,,
N,LA,Duaner,Sánchez,P ,63, 0.750 , 0.500 , 0.250 , 0.250 ,4,1,1,1,0,0,2,0,1,0,0,, 3.38 ,0,3,1, 0.750 ,0,0, 80.0 ,81,34,30,27,44,67,9,0, 1.000 ,67,0,20,80,9,11,0,0,,,,,,,,,,,2004,LA N,SánchezDuaner,,
N,PIT,Freddy,Sánchez,SS,9, 0.316 , 0.158 , 0.158 , 0.158 ,19,2,3,0,0,0,2,0,3,0,0,,,,,,  ,,,,,,,,,,,, 0.917 ,8,4,12,39,4,7,1,1,,,,,,,,,,,2004,PIT N,SánchezFreddy,,
N,CIN,Jesús,Sánchez,P ,3, -   , -   , -   , -   ,4,0,0,0,0,0,0,0,3,0,0,, 7.66 ,3,0,2, -   ,0,0, 14.1 ,18,12,12,9,8,3,4,0, 1.000 ,3,3,4,14,1,3,0,0,,,,,,,,,,,2004,CIN N,SánchezJesús,,
A,TB,Rey,Sánchez,2B,91, 0.613 , 0.337 , 0.246 , 0.276 ,285,23,70,14,3,2,26,12,28,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.988 ,91,82,416,722,162,249,5,56,,,,,,,,,,,2004,TB A,SánchezRey,,
N,STL,Reggie,Sanders,OF,135, 0.793 , 0.482 , 0.260 , 0.311 ,446,64,116,27,3,22,67,33,118,21,5,80.8%,,,,,  ,,,,,,,,,,,, 0.981 ,119,112,208,949,198,6,4,1,,,,,,,,,,,2004,STL N,SandersReggie,,
A,MIN,Johan,Santana,P ,2, 0.750 , 0.375 , 0.375 , 0.375 ,8,0,3,0,0,0,2,0,1,0,0,, 2.61 ,34,20,6, 0.769 ,1,0, 228.0 ,156,70,66,54,265,34,24,1, 0.892 ,34,34,37,228,9,24,4,2,,,,,,,,,,,2004,MIN A,SantanaJohan,,
A,KC,Benito,Santiago,C ,49, 0.740 , 0.434 , 0.274 , 0.306 ,175,15,48,10,0,6,23,8,32,1,2,33.3%,,,,,  ,,,,,,,,,,,, 0.996 ,49,48,247,416,228,18,1,3,,,,,,,,,,,2004,KC A,SantiagoBenito,,
A,SEA,Ramón,Santiago,SS,19, 0.443 , 0.205 , 0.179 , 0.238 ,39,8,7,1,0,0,2,3,3,0,0,,,,,,  ,,,,,,,,,,,, 0.946 ,16,10,56,105,22,31,3,8,,,,,,,,,,,2004,SEA A,SantiagoRamón,,
N,MIL,Víctor,Santos,P ,29, 0.174 , 0.077 , 0.051 , 0.098 ,39,0,2,1,0,0,1,2,20,0,0,, 4.97 ,28,11,12, 0.478 ,0,0, 154.0 ,169,95,85,57,115,31,18,0, 0.850 ,31,28,20,154,13,4,3,1,,,,,,,,,,,2004,MIL N,SantosVíctor,,
A,BOS,Curt,Schilling,P ,2, 0.286 , 0.143 , 0.143 , 0.143 ,7,0,1,0,0,0,0,0,2,0,0,, 3.26 ,32,21,6, 0.778 ,3,0, 226.2 ,206,84,82,35,203,32,23,0, 1.000 ,32,32,30,226,16,14,0,2,,,,,,,,,,,2004,BOS A,SchillingCurt,,
N,SF,Jason,Schmidt,P ,30, 0.413 , 0.227 , 0.136 , 0.186 ,66,4,9,0,0,2,3,4,30,0,0,, 3.20 ,32,18,7, 0.720 ,4,0, 225.0 ,165,84,80,77,251,32,18,3, 0.900 ,32,32,30,225,5,22,3,1,,,,,,,,,,,2004,SF N,SchmidtJason,,
N,MON,Brian,Schneider,C ,135, 0.721 , 0.399 , 0.257 , 0.322 ,436,40,112,20,3,12,49,42,63,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.998 ,133,125,874,1114,814,58,2,16,,,,,,,,,,,2004,MON N,SchneiderBrian,,
A,CHI,Scott,Schoeneweis,P ,1, 1.500 , 1.000 , 0.500 , 0.500 ,2,0,1,1,0,0,0,0,0,0,0,, 5.61 ,19,6,9, 0.400 ,0,0, 112.2 ,129,74,70,49,69,20,17,0, 1.000 ,20,19,28,112,7,21,0,3,,,,,,,,,,,2004,CHI A,SchoeneweisScott,,
A,OAK,Marco,Scutaro,2B,137, 0.691 , 0.393 , 0.273 , 0.297 ,455,50,124,32,1,7,43,16,58,0,0,,,,,,  ,,,,,,,,,,,, 0.992 ,140,117,614,1083,256,353,5,87,,,,,,,,,,,2004,OAK A,ScutaroMarco,,
N,FLA,Rudy,Seánez,P ,27,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.33 ,0,3,2, 0.600 ,0,0, 46.0 ,39,17,17,19,46,39,3,0, 0.909 ,39,0,11,46,6,4,1,0,,,,,,,,,,,2004,FLA N,SeánezRudy,,
A,TB,Bobby,Seay,P ,,,,,,,,,,,,,,,,,, 2.43 ,0,0,0,,0,0, 22.2 ,21,6,6,5,17,21,2,0, 1.000 ,21,0,4,22,1,3,0,0,,,,,,,,,,,2004,TB A,SeayBobby,,
A,BAL,David,Seguí,1B,18, 0.831 , 0.441 , 0.339 , 0.391 ,59,8,20,3,0,1,7,5,13,0,1,0.0%,,,,,  ,,,,,,,,,,,, 1.000 ,2,2,17,18,17,0,0,1,,,,,,,,,,,2004,BAL A,SeguíDavid,,
A,BOS,Phil,Seibel,P ,,,,,,,,,,,,,,,,,, -   ,0,0,0,,0,0, 3.2 ,0,0,0,5,1,2,0,0, 1.000 ,2,0,1,3,0,1,0,0,,,,,,,,,,,2004,BOS A,SeibelPhil,,
A,ANA,Aaron,Sele,P ,1, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 5.05 ,24,9,4, 0.692 ,0,0, 132.0 ,163,84,74,51,51,28,16,0, 0.867 ,28,24,15,132,3,10,2,2,,,,,,,,,,,2004,ANA A,SeleAaron,,
N,FLA,Hee,Seop Choi,1B,126, 0.816 , 0.449 , 0.251 , 0.367 ,343,53,86,21,1,15,46,63,96,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.990 ,112,98,942,867,882,51,9,78,,,,,,,,,,,2004,FLA N,Seop ChoiHee,,
A,KC,Jimmy,Serrano,P ,,,,,,,,,,,,,,,,,, 4.75 ,5,1,2, 0.333 ,0,0, 32.2 ,35,17,17,12,25,10,5,0, 1.000 ,10,5,5,32,2,3,0,0,,,,,,,,,,,2004,KC A,SerranoJimmy,,
N,ARI,Scott,Service,P ,19, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 7.16 ,0,1,1, 0.500 ,0,0, 20.1 ,24,17,16,10,17,21,5,0, 1.000 ,21,0,5,20,3,2,0,0,,,,,,,,,,,2004,ARI N,ServiceScott,,
A,SEA,Cha,Seung Baek,P ,,,,,,,,,,,,,,,,,, 5.52 ,5,2,4, 0.333 ,0,0, 31.0 ,35,23,19,11,20,7,5,0, 1.000 ,7,5,5,31,3,2,0,0,,,,,,,,,,,2004,SEA A,Seung BaekCha,,
N,ARI,Richie,Sexson,1B,23, 0.914 , 0.578 , 0.233 , 0.337 ,90,20,21,4,0,9,23,14,21,0,0,,,,,,  ,,,,,,,,,,,, 0.996 ,23,23,227,204,199,27,1,19,,,,,,,,,,,2004,ARI N,SexsonRichie,,
N,MIL,Ben,Sheets,P ,33, 0.329 , 0.134 , 0.134 , 0.194 ,67,2,9,0,0,0,1,5,22,0,0,, 2.70 ,34,12,14, 0.462 ,5,0, 237.0 ,201,85,71,32,264,34,25,0, 0.949 ,34,34,39,237,14,23,2,0,,,,,,,,,,,2004,MIL N,SheetsBen,,
A,NY,Gary,Sheffield,OF,154, 0.922 , 0.534 , 0.290 , 0.388 ,573,117,166,30,1,36,121,92,83,5,6,45.5%,,,,,  ,,,,,,,,,,,, 0.979 ,138,136,287,1180,270,11,6,3,,,,,,,,,,,2004,NY A,SheffieldGary,,
A,DET,Chris,Shelton,1B,27, 0.610 , 0.283 , 0.196 , 0.327 ,46,6,9,1,0,1,3,9,14,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,15,2,37,43,33,4,0,3,,,,,,,,,,,2004,DET A,SheltonChris,,
A,SEA,George,Sherrill,P ,,,,,,,,,,,,,,,,,, 3.88 ,0,2,1, 0.667 ,0,0, 23.2 ,24,12,10,9,16,21,3,0, 1.000 ,21,0,4,23,0,4,0,0,,,,,,,,,,,2004,SEA A,SherrillGeorge,,
A,ANA,Scot,Shields,P ,3, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 3.34 ,0,8,2, 0.800 ,0,4, 105.1 ,97,42,39,40,109,60,6,0, 0.950 ,60,0,20,105,6,13,1,0,,,,,,,,,,,2004,ANA A,ShieldsScot,,
A,TEX,Brian,Shouse,P ,6,,,,,0,0,0,0,0,0,0,0,0,0,0,, 2.24 ,0,2,0, 1.000 ,0,0, 44.1 ,36,12,11,18,34,53,3,0, 1.000 ,53,0,20,44,9,11,0,0,,,,,,,,,,,2004,TEX A,ShouseBrian,,
A,NY,Rubén,Sierra,OF,107, 0.757 , 0.456 , 0.244 , 0.301 ,307,40,75,12,1,17,65,25,55,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.977 ,30,22,43,181,41,1,1,0,,,,,,,,,,,2004,NY A,SierraRubén,,
A,MIN,Carlos,Silva,P ,2, -   , -   , -   , -   ,3,0,0,0,0,0,0,0,1,0,0,, 4.21 ,33,14,8, 0.636 ,1,0, 203.0 ,255,100,95,35,76,33,23,1, 0.947 ,33,33,38,203,11,25,2,1,,,,,,,,,,,2004,MIN A,SilvaCarlos,,
A,TB,Randall,Simon,1B,69, 0.523 , 0.266 , 0.188 , 0.257 ,192,16,36,6,0,3,14,18,19,0,0,,,,,,  ,,,,,,,,,,,, 0.992 ,47,42,375,336,347,25,3,37,,,,,,,,,,,2004,TB A,SimonRandall,,
