LG,TEAM,FName,LName,POS1,G, OPS , SLG , AVG , OBP ,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SB%, ERA ,GS,W,L,PCT,CG,SV, IP ,HA,RA,ER,BBA,SOA,GP,HRA,ShO, FPCT1 ,G1,GS1,TC1,INN1,PO1,A1,E1,DP1, POS2 , FPCT2 , G2 , GS2 , TC2 , INN2 , PO2 , A2 , E2 , DP2 ,Year,TEAM LG,ID,BATS,THROWS
N,SD,Mark,Loretta,2B,154, 0.887 , 0.495 , 0.335 , 0.392 ,620,108,208,47,2,16,76,58,45,5,3,62.5%,,,,,  ,,,,,,,,,,,, 0.987 ,154,154,749,1339,288,451,10,101,,,,,,,,,,,2004,SD N,LorettaMark,,
A,BOS,Derek,Lowe,P ,2, 0.750 , 0.500 , 0.250 , 0.250 ,4,0,1,1,0,0,1,0,1,0,0,, 5.43 ,33,14,12, 0.538 ,0,0, 182.2 ,224,138,110,71,105,33,15,0, 0.953 ,33,33,64,182,22,39,3,1,,,,,,,,,,,2004,BOS A,LoweDerek,,
N,FLA,Mike,Lowell,3B,158, 0.866 , 0.505 , 0.293 , 0.361 ,598,87,175,44,1,27,85,64,77,5,1,83.3%,,,,,  ,,,,,,,,,,,, 0.982 ,154,153,396,1326,117,272,7,30,,,,,,,,,,,2004,FLA N,LowellMike,,
N,SF,Noah,Lowry,P ,14, 0.424 , 0.242 , 0.182 , 0.182 ,33,2,6,2,0,0,0,0,10,0,0,, 3.82 ,14,6,0, 1.000 ,2,0, 92.0 ,91,41,39,28,72,16,10,1, 1.000 ,16,14,16,92,1,15,0,1,,,,,,,,,,,2004,SF N,LowryNoah,,
A,CLE,Ryan,Ludwick,OF,15, 0.630 , 0.380 , 0.220 , 0.250 ,50,3,11,2,0,2,4,2,14,0,0,,,,,,  ,,,,,,,,,,,, 0.970 ,15,13,33,119,32,0,1,0,,,,,,,,,,,2004,CLE A,LudwickRyan,,
A,TB,Julio,Lugo,SS,157, 0.733 , 0.396 , 0.275 , 0.337 ,581,83,160,41,4,7,75,54,106,21,5,80.8%,,,,,  ,,,,,,,,,,,, 0.964 ,151,150,716,1307,252,438,26,94,,,,,,,,,,,2004,TB A,LugoJulio,,
N,STL,Héctor,Luna,2B,83, 0.665 , 0.364 , 0.249 , 0.301 ,173,25,43,7,2,3,22,13,37,6,3,66.7%,,,,,  ,,,,,,,,,,,, 0.962 ,69,37,186,367,70,109,7,21,,,,,,,,,,,2004,STL N,LunaHéctor,,
A,BOS,Bobby,M. Jones,P ,,,,,,,,,,,,,,,,,, 5.81 ,0,0,1, -   ,0,0, 3.1 ,3,2,2,8,3,3,1,0, 1.000 ,3,0,1,3,0,1,0,0,,,,,,,,,,,2004,BOS A,M. JonesBobby,,
N,STL,John,Mabry,OF,87, 0.869 , 0.504 , 0.296 , 0.365 ,240,32,71,11,0,13,40,26,63,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.972 ,99,62,218,560,169,43,6,9,,,,,,,,,,,2004,STL N,MabryJohn,,
A,KC,Mike,MacDougal,P ,,,,,,,,,,,,,,,,,, 5.68 ,0,1,1, 0.500 ,0,1, 11.1 ,16,8,7,9,14,13,2,0, 1.000 ,13,0,3,11,2,1,0,0,,,,,,,,,,,2004,KC A,MacDougalMike,,
N,CIN,Anderson,Machado,SS,17, 0.772 , 0.393 , 0.268 , 0.379 ,56,6,15,5,1,0,4,10,26,3,1,75.0%,,,,,  ,,,,,,,,,,,, 0.937 ,17,16,63,149,23,36,4,7,,,,,,,,,,,2004,CIN N,MachadoAnderson,,
A,BAL,Roberto,Machado,C ,37, 0.428 , 0.233 , 0.151 , 0.195 ,73,5,11,3,0,1,3,4,18,0,0,,,,,,  ,,,,,,,,,,,, 0.994 ,35,19,172,188,158,13,1,6,,,,,,,,,,,2004,BAL A,MachadoRoberto,,
N,CHI,José,Macías,OF,98, 0.663 , 0.376 , 0.268 , 0.286 ,194,23,52,6,3,3,22,5,38,4,1,80.0%,,,,,  ,,,,,,,,,,,, 0.989 ,62,28,94,310,55,38,1,4,,,,,,,,,,,2004,CHI N,MacíasJosé,,
N,PIT,Rob,Mackowiak,3B,155, 0.736 , 0.420 , 0.246 , 0.316 ,491,65,121,22,6,17,75,50,114,13,4,76.5%,,,,,  ,,,,,,,,,,,, 0.968 ,179,122,283,1126,175,99,9,18,,,,,,,,,,,2004,PIT N,MackowiakRob,,
N,CHI,Greg,Maddux,P ,32, 0.331 , 0.159 , 0.159 , 0.171 ,69,5,11,0,0,0,5,1,12,1,0,100.0%, 4.03 ,33,16,11, 0.593 ,2,0, 212.2 ,218,103,95,33,151,33,35,1, 0.987 ,33,33,77,212,21,55,1,3,,,,,,,,,,,2004,CHI N,MadduxGreg,,
A,SEA,Bobby,Madritsch,P ,,,,,,,,,,,,,,,,,, 3.27 ,11,6,3, 0.667 ,1,0, 88.0 ,74,33,32,33,60,15,3,0, 1.000 ,15,11,14,88,2,12,0,1,,,,,,,,,,,2004,SEA A,MadritschBobby,,
