"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"10/24/2015","340030003","1","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/27/2015","340030003","1","5.9","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"10/30/2015","340030003","1","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/02/2015","340030003","1","8.2","ug/m3 LC","34","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/05/2015","340030003","1","25","ug/m3 LC","78","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/08/2015","340030003","1","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/11/2015","340030003","1","7.1","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/14/2015","340030003","1","1.9","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/17/2015","340030003","1","4.5","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/20/2015","340030003","1","3.9","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/26/2015","340030003","1","15.2","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"11/29/2015","340030003","1","3.1","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/02/2015","340030003","1","16","ug/m3 LC","59","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/05/2015","340030003","1","11.9","ug/m3 LC","50","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/08/2015","340030003","1","10","ug/m3 LC","42","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/11/2015","340030003","1","24","ug/m3 LC","76","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/14/2015","340030003","1","13.8","ug/m3 LC","55","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/17/2015","340030003","1","5.7","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/20/2015","340030003","1","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/23/2015","340030003","1","13.4","ug/m3 LC","54","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/26/2015","340030003","1","4","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
"12/29/2015","340030003","1","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.852256","-73.973314"
